# Timestep     No_Moles     No_Specs     C19H20O4	C11H18N2	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
228000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
229000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
230000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
231000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
232000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
233000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
234000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
235000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
236000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
237000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
238000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
239000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
240000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
241000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
242000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
243000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
244000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
245000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
246000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
247000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
248000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
249000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
250000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
251000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
252000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
253000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
254000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
255000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
256000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
257000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
258000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
259000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
260000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
261000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
262000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
263000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
264000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
265000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
266000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
267000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
268000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
269000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
270000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
271000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
272000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
273000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
274000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
275000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
276000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
277000          2          2	 1	 1	
# Timestep     No_Moles     No_Specs     C19H20O4	C79H96O12N4	
278000          2          2	 1	 1	
